"gene","anno","WJ01","WJ02","WJ04","HG-LG DNA","TIIA-HG DNA","HG-LG","TIIA-HG","reg"
"Bik","Promoter (1-2kb)",0.5875,0.670588235294118,0.457142857142857,8.30882352941176,-21.344537815126,-0.899073650102219,0.642823410860176,"Promoter"
"Bmp8b","Promoter (<=1kb)",0.627272727272727,0.615384615384615,0.492647058823529,-1.18881118881119,-12.2737556561086,-2.15656987239458,2.58392972180661,"Promoter"
"Ephx4","Promoter (<=1kb)",0.355140186915888,0.504273504273504,0.382198952879581,14.9133317357616,-12.2074551393923,-2.6260551556958,1.99896722108545,"Promoter"
"Eya4","Promoter (1-2kb)",0.605633802816901,0.618181818181818,0.481481481481481,1.25480153649168,-13.6700336700337,-0.40098860006103,0.36820103075117,"Promoter"
"Fcho1","Promoter (<=1kb)",0.171428571428571,0.253968253968254,0.125,8.25396825396825,-12.8968253968254,-0.451557424463667,0.502541394965952,"Promoter"
"Gulo","Promoter (2-3kb)",0.619047619047619,0.804347826086957,0.659090909090909,18.5300207039337,-14.5256916996047,-3.04109265497465,1.99896722108545,"Promoter"
"Hhat","Promoter (<=1kb)",0.48,0.518518518518518,0.323529411764706,3.85185185185185,-19.4989106753813,-0.648775232195887,0.651043917665144,"Promoter"
"Kcnip2","Promoter (<=1kb)",0.191489361702128,0.266666666666667,0.148148148148148,7.5177304964539,-11.8518518518519,-3.04109265497465,1.99896722108545,"Promoter"
"Mak","Promoter (2-3kb)",0.926829268292683,1,0.862745098039216,7.3170731707317,-13.7254901960784,-1.77805824914085,1.99896722108545,"Promoter"
"Nkd2","Promoter (<=1kb)",0.262068965517241,0.289592760180996,0.126760563380282,2.75237946637541,-16.2832196800714,-0.934177451058135,0.835468488802571,"Promoter"
"Npas3","Promoter (<=1kb)",0.0476190476190476,0.26,0.153846153846154,21.2380952380952,-10.6153846153846,-2.6260551556958,1.99896722108545,"Promoter"
"Psen2","Promoter (1-2kb)",0.137931034482759,0.386666666666667,0.230769230769231,24.8735632183908,-15.5897435897436,-0.317932860333473,0.432953823165286,"Promoter"
"Psen2","Promoter (<=1kb)",0.485714285714286,0.588235294117647,0.424242424242424,10.2521008403361,-16.3992869875223,-0.317932860333473,0.432953823165286,"Promoter"
"Rab11fip4","Promoter (<=1kb)",0.33112582781457,0.335714285714286,0.160714285714286,0.458845789971613,-17.5,-0.706673615904089,0.600417844595177,"Promoter"
"Tnfrsf25","Promoter (1-2kb)",0.625806451612903,0.767123287671233,0.631313131313131,14.131683605833,-13.5810156358102,-2.84844757703225,2.80632214314306,"Promoter"
"Tnfrsf25","Promoter (2-3kb)",0.558823529411765,0.8,0.605263157894737,24.1176470588235,-19.4736842105263,-2.84844757703225,2.80632214314306,"Promoter"
"Upk3b","Promoter (1-2kb)",0.602040816326531,0.757894736842105,0.65625,15.5853920515575,-10.1644736842105,-1.13301514441569,1.40925119039366,"Promoter"
